iter,conv.weight_ave,fc1.weight_ave,fc2.weight_ave,fc_action1.weight_ave,fc_action2.weight_ave,fc_value1.weight_ave,fc_value2.weight_ave,conv.weight_max,fc1.weight_max,fc2.weight_max,fc_action1.weight_max,fc_action2.weight_max,fc_value1.weight_max,fc_value2.weight_max,conv.weight_min,fc1.weight_min,fc2.weight_min,fc_action1.weight_min,fc_action2.weight_min,fc_value1.weight_min,fc_value2.weight_min
31,0.01178525760769844,0.0050958446227014065,0.013129016384482384,0.006981703918427229,0.046282317489385605,0.06962979584932327,0.22228004038333893,0.04668000340461731,0.03520854562520981,0.13522163033485413,0.14481613039970398,0.41671106219291687,0.5814239382743835,0.4831583499908447,0.00026226177578791976,3.317836672067642e-08,0.0,0.0,0.0,0.0,0.0
32,0.007667160127311945,0.004170306958258152,0.010985287837684155,0.004714183043688536,0.0578567199409008,0.05857022479176521,0.18912546336650848,0.02825040929019451,0.025832828134298325,0.10603465139865875,0.1171552836894989,0.3230399191379547,0.4928462505340576,0.4159647822380066,0.0001548282743897289,5.991169018670917e-07,0.0,0.0,0.0,0.0,0.0
33,0.00883499812334776,0.0026869410648941994,0.004441077820956707,0.0024066069163382053,0.04503616690635681,0.02052813023328781,0.066901296377182,0.036605626344680786,0.02118922770023346,0.03826490417122841,0.03715123236179352,0.30505889654159546,0.19503153860569,0.15507183969020844,4.204123979434371e-05,3.2735697459429502e-06,0.0,0.0,0.0,0.0,0.0
34,0.007170320954173803,0.002633106429129839,0.0037122226785868406,0.007598464377224445,0.055114686489105225,0.021570347249507904,0.07298241555690765,0.025949427857995033,0.015339329838752747,0.04391363263130188,0.11449424177408218,0.48067593574523926,0.1998976618051529,0.17923235893249512,4.414489376358688e-05,1.335109118372202e-06,0.0,0.0,0.0,0.0,0.0
35,0.00833298359066248,0.0031255504582077265,0.0073505183681845665,0.003090145066380501,0.03814292326569557,0.03853912651538849,0.11878892779350281,0.02641354128718376,0.018353091552853584,0.06527495384216309,0.056532204151153564,0.29937171936035156,0.3807169497013092,0.2576771080493927,0.00015033464296720922,8.10712663223967e-07,0.0,0.0,0.0,0.0,0.0
36,0.006830884143710136,0.0024530633818358183,0.005124965216964483,0.010281162336468697,0.07273735105991364,0.021725201979279518,0.06081648916006088,0.022734692320227623,0.02155112288892269,0.05214592069387436,0.1620471328496933,0.5720021724700928,0.22915905714035034,0.12105356901884079,5.067558959126472e-07,5.131441866979003e-07,0.0,0.0,0.0,0.0,0.0
37,0.010990905575454235,0.006235967855900526,0.01672966405749321,0.006777136120945215,0.0762169286608696,0.0900665745139122,0.2509290874004364,0.03740156814455986,0.037648219615221024,0.1459500789642334,0.11567358672618866,0.3654493987560272,0.7769026756286621,0.5139599442481995,0.0002420195669401437,1.0690593626350164e-05,0.0,0.0,0.0,0.0,0.0
38,0.007345609832555056,0.0029427618719637394,0.006653415039181709,0.011916707269847393,0.08171658217906952,0.03689455986022949,0.12278818339109421,0.017966311424970627,0.01834850385785103,0.06630432605743408,0.24311894178390503,0.6170852184295654,0.31810134649276733,0.25755685567855835,0.00016184221021831036,1.0798612493090332e-07,0.0,0.0,0.0,0.0,0.0
39,0.008542978204786777,0.004895179066807032,0.01286647841334343,0.005409736651927233,0.054903656244277954,0.0740746408700943,0.21616433560848236,0.026408681645989418,0.031126290559768677,0.09724882245063782,0.08708097040653229,0.5343222618103027,0.644690215587616,0.41058939695358276,0.0001445258967578411,6.35744072496891e-06,0.0,0.0,0.0,0.0,0.0
40,0.011053405702114105,0.003834121860563755,0.006976446136832237,0.006189901381731033,0.04830459877848625,0.03973063454031944,0.13758781552314758,0.031004929915070534,0.025317039340734482,0.05860282480716705,0.09087806195020676,0.37957072257995605,0.3355909287929535,0.3014010488986969,0.0002513325307518244,1.1767970136133954e-06,0.0,0.0,0.0,0.0,0.0
